RECORD_ID,STUDENT_ID,ENROLLMENT_DATE,ACADEMIC_STANDING,CURRENT_GPA,CREDIT_HOURS_ATTEMPTED,CREDIT_HOURS_EARNED,MAJOR_CODE,ADVISOR_ID,FINANCIAL_AID_AMOUNT,LAST_LOGIN_DATE,TOTAL_COURSE_VIEWS,ASSIGNMENT_SUBMISSIONS,DISCUSSION_POSTS,AVG_ASSIGNMENT_SCORE,COURSE_COMPLETION_RATE,PLAGIARISM_INCIDENTS,WRITING_QUALITY_SCORE,ENGAGEMENT_SCORE,AT_RISK_FLAG,INTERVENTION_COUNT,LAST_UPDATED
RET_000000,STU_202400000,2024-08-11 0:00:00,Satisfactory Progress,3.13,16,15,PHIL,ADV_1131,13793.33,2025-07-27 14:28:37,144,11,25,54.9,0.99,0,79.3,63.9,FALSE,2,2025-07-31 23:57:37
RET_000001,STU_202400001,2024-08-02 0:00:00,Satisfactory Progress,2.16,19,18,POLI,ADV_1041,10434.22,2025-07-31 14:28:37,241,14,7,52.6,0.61,7,91,52.3,FALSE,3,2025-08-01 0:10:37
RET_000002,STU_202400002,2024-08-01 0:00:00,Satisfactory Progress,3.28,16,14,PHIL,ADV_1097,0,2025-07-27 14:28:37,55,9,12,60.2,0.45,0,79.1,32.4,FALSE,3,2025-07-31 16:23:37
RET_000003,STU_202400003,2024-08-12 0:00:00,Probationary Status,3.96,19,16,JOUR,ADV_1141,31414.78,2025-07-30 14:28:37,236,12,11,55.5,0.42,3,40.1,43.3,TRUE,7,2025-07-31 16:41:37
RET_000004,STU_202400004,2024-08-05 0:00:00,Dean's List,3.95,16,11,MUSC,ADV_1098,0,2025-07-31 14:28:37,155,14,24,80,0.92,0,86.7,34.6,FALSE,1,2025-08-01 9:57:37
RET_000005,STU_202400005,2024-08-04 0:00:00,Excellent Standing,3.22,20,16,PSYC,ADV_1012,16279.15,2025-07-29 14:28:37,228,11,23,88.3,0.76,0,86.2,24.9,FALSE,1,2025-08-01 5:04:37
RET_000006,STU_202400006,2024-08-04 0:00:00,Satisfactory Progress,2.73,17,16,RELI,ADV_1044,9734.71,2025-07-05 14:28:37,32,7,9,92.2,0.39,0,89.1,81.8,FALSE,1,2025-07-31 19:17:37
RET_000007,STU_202400007,2024-08-03 0:00:00,Distinguished Standing,3.84,17,12,HIST,ADV_1086,4634.33,2025-07-26 14:28:37,138,13,27,97.3,0.47,0,44,80.7,FALSE,2,2025-08-01 12:22:37
RET_000008,STU_202400008,2024-08-12 0:00:00,Academic Warning,1.14,12,9,PHIL,ADV_1145,29758.57,2025-07-29 14:28:37,368,13,9,62.5,0.34,0,85.4,59.6,FALSE,2,2025-07-31 20:45:37
RET_000009,STU_202400009,2024-08-02 0:00:00,Probationary Status,3.21,19,14,ENGR,ADV_1039,10893.15,2025-07-30 14:28:37,367,18,31,56.2,0.36,0,89.6,67.2,TRUE,8,2025-07-31 17:53:37
RET_000010,STU_202400010,2024-08-11 0:00:00,Academic Probation,1.51,16,13,COMP,ADV_1042,14541,2025-07-31 14:28:37,192,15,32,65,0.66,0,84.7,78.2,FALSE,0,2025-08-01 10:11:37
RET_000011,STU_202400011,2024-08-12 0:00:00,Honor Roll,2.27,14,12,BUSN,ADV_1038,0,2025-07-27 14:28:37,117,19,31,70.3,0.71,0,77.2,18.7,FALSE,3,2025-08-01 11:50:37
RET_000012,STU_202400012,2024-08-15 0:00:00,Excellent Standing,2.68,13,9,ARTS,ADV_1046,0,2025-08-01 14:28:37,203,10,28,91.2,0.58,0,41.1,72.2,FALSE,0,2025-07-31 15:51:37
RET_000013,STU_202400013,2024-08-09 0:00:00,Probationary Status,3.68,17,16,ECON,ADV_1014,0,2025-07-26 14:28:37,123,11,16,74.5,0.39,0,89,59.9,FALSE,0,2025-08-01 2:20:37
RET_000014,STU_202400014,2024-08-02 0:00:00,Probationary Status,2.65,18,17,FINC,ADV_1108,0,2025-07-25 14:28:37,116,11,2,69.9,0.73,0,59.9,69.6,FALSE,3,2025-08-01 1:11:37
RET_000015,STU_202400015,2024-08-10 0:00:00,Warning Status,3.98,15,12,MGMT,ADV_1079,18361.02,2025-07-25 14:28:37,105,13,31,62,0.57,0,72.1,72.8,TRUE,7,2025-08-01 9:18:37
RET_000016,STU_202400016,2024-08-07 0:00:00,Academic Suspension,3.9,18,17,ANTH,ADV_1080,5167.38,2025-07-29 14:28:37,217,12,22,93.2,0.51,0,68.1,15.5,FALSE,1,2025-08-01 9:50:37
RET_000017,STU_202400017,2024-08-01 0:00:00,Academic Probation,3.18,18,17,FINC,ADV_1115,12283.68,2025-07-31 14:28:37,351,10,6,51.3,0.55,0,94,84.9,FALSE,0,2025-07-31 23:07:37
RET_000018,STU_202400018,2024-08-01 0:00:00,Dean's List,3.84,19,16,PHIL,ADV_1074,4050.8,2025-07-27 14:28:37,75,20,16,61.2,0.87,0,89.2,82.8,FALSE,0,2025-07-31 21:51:37
RET_000019,STU_202400019,2024-08-02 0:00:00,Probationary Status,3.78,15,12,HIST,ADV_1047,2093.91,2025-07-28 14:28:37,74,13,34,93.8,0.31,4,89.6,33,FALSE,1,2025-08-01 12:00:37
RET_000020,STU_202400020,2024-08-04 0:00:00,Honor Roll,1.55,13,10,PHYS,ADV_1031,26874.61,2025-07-27 14:28:37,150,14,0,70.3,0.66,0,37.4,49.2,TRUE,3,2025-08-01 12:37:37
RET_000021,STU_202400021,2024-08-04 0:00:00,Dean's List,2.83,12,10,THEA,ADV_1034,30844.81,2025-07-30 14:28:37,371,11,14,83.7,0.45,6,45.2,42.5,TRUE,6,2025-07-31 15:32:37
RET_000022,STU_202400022,2024-08-09 0:00:00,Dean's List,2.84,20,18,ENGL,ADV_1052,3860.14,2025-07-25 14:28:37,142,13,5,61.7,0.43,0,76.3,22.4,TRUE,3,2025-08-01 5:42:37
RET_000023,STU_202400023,2024-08-10 0:00:00,Academic Warning,3.11,14,10,ARTS,ADV_1001,5110.3,2025-07-26 14:28:37,76,15,35,46.6,0.4,7,69.3,63.4,TRUE,7,2025-07-31 15:05:37
RET_000024,STU_202400024,2024-08-01 0:00:00,Good Standing,3.97,19,14,POLI,ADV_1065,0,2025-07-15 14:28:37,5,20,22,63.2,0.59,0,36.2,91.8,FALSE,2,2025-08-01 5:30:37
RET_000025,STU_202400025,2024-08-09 0:00:00,Good Standing,3.82,14,13,MGMT,ADV_1004,29343.98,2025-07-26 14:28:37,147,13,20,76.4,0.7,0,75.3,38,TRUE,6,2025-08-01 10:22:37
RET_000026,STU_202400026,2024-08-04 0:00:00,Dean's List,3.13,15,11,ECON,ADV_1118,12744.29,2025-07-30 14:28:37,189,17,25,97.4,0.44,0,55.4,50.4,FALSE,3,2025-07-31 21:06:37
RET_000027,STU_202400027,2024-08-12 0:00:00,Satisfactory Progress,2.54,18,13,PHIL,ADV_1128,9250.24,2025-07-26 14:28:37,74,9,21,75.5,0.62,0,57.2,44,FALSE,2,2025-07-31 17:10:37
RET_000028,STU_202400028,2024-08-11 0:00:00,Warning Status,2.39,18,13,ENGR,ADV_1128,0,2025-07-22 14:28:37,15,16,35,54.5,0.88,0,72.4,44.6,FALSE,1,2025-08-01 2:57:37
RET_000029,STU_202400029,2024-08-12 0:00:00,Academic Probation,1.33,14,13,ARTS,ADV_1140,27378.42,2025-08-01 14:28:37,197,8,24,60.2,0.46,0,90,52.5,FALSE,1,2025-08-01 13:08:37
RET_000030,STU_202400030,2024-08-09 0:00:00,Satisfactory Progress,2.83,16,12,BIOL,ADV_1002,25150.82,2025-07-31 14:28:37,266,11,33,45.6,0.53,0,91.1,72.8,TRUE,3,2025-08-01 0:39:37
RET_000031,STU_202400031,2024-08-07 0:00:00,Conditional Standing,3.77,13,9,ACCT,ADV_1127,19162.17,2025-07-12 14:28:37,15,8,34,67.4,0.82,2,52.5,17.2,TRUE,7,2025-07-31 22:20:37
RET_000032,STU_202400032,2024-08-04 0:00:00,Probationary Status,3.94,20,16,GEOG,ADV_1061,0,2025-07-29 14:28:37,183,11,27,88.8,0.77,5,71.2,23.1,FALSE,0,2025-08-01 13:34:37
RET_000033,STU_202400033,2024-08-08 0:00:00,Warning Status,3.81,17,16,THEA,ADV_1056,0,2025-07-28 14:28:37,125,15,29,59.7,0.31,2,94.5,67.1,FALSE,2,2025-07-31 20:19:37
RET_000034,STU_202400034,2024-08-10 0:00:00,Dean's List,3.12,20,16,NURS,ADV_1122,0,2025-07-31 14:28:37,361,17,15,73.1,0.94,0,50.2,16.8,TRUE,5,2025-08-01 9:34:37
